Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2012","2012","TJ","3510","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2013","2013","TJ","3611","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2014","2014","TJ","3715","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2015","2015","TJ","3822","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2016","2016","TJ","3936","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2017","2017","TJ","4038","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2018","2018","TJ","4168","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2019","2019","TJ","4265","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2020","2020","TJ","4385","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2021","2021","TJ","4508","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6524","Charcoal","2022","2022","TJ","4602","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2012","2012","TJ","3510","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2013","2013","TJ","3610","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2014","2014","TJ","3714","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2015","2015","TJ","3821","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2016","2016","TJ","3927","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2017","2017","TJ","4037","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2018","2018","TJ","4149","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2019","2019","TJ","4265","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2020","2020","TJ","4384","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2021","2021","TJ","4508","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6524","Charcoal","2022","2022","TJ","4602","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2012","2012","TJ","8953","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2013","2013","TJ","9057","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2014","2014","TJ","9162","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2015","2015","TJ","9268","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2016","2016","TJ","9365","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2017","2017","TJ","9460","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2018","2018","TJ","9560","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2019","2019","TJ","9654","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2020","2020","TJ","9756","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2021","2021","TJ","9848","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5851","Energy consumption","6525","Fuelwood","2022","2022","TJ","9994","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2012","2012","TJ","15474","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2013","2013","TJ","15765","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2014","2014","TJ","16063","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2015","2015","TJ","16368","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2016","2016","TJ","16660","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2017","2017","TJ","16960","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2018","2018","TJ","17266","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2019","2019","TJ","17578","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2020","2020","TJ","17898","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2021","2021","TJ","18224","E","Estimated value"
"BE","Bioenergy","004","Afghanistan","5852","Energy production","6525","Fuelwood","2022","2022","TJ","18544","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2012","2012","TJ","55","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2013","2013","TJ","68","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2014","2014","TJ","82","E","Estimated value"
"BE","Bioenergy","051","Armenia","5851","Energy consumption","6519","Animal waste","2015","2015","TJ","1307","E","Estimated value"
